,date,minute,label,high,low,open,close,average,volume,notional,numberOfTrades,symbol
0,2020-04-07,09:30,09:30 AM,544.6,541.75,544.6,541.91,542.86,1464,794747.25,19,TSLA
1,2020-04-07,09:31,09:31 AM,541.5,539.99,541.09,539.99,540.9590000000001,420,227202.8,5,TSLA
2,2020-04-07,09:32,09:32 AM,538.51,536.7,538.51,536.7,537.475,400,214990.0,4,TSLA
3,2020-04-07,09:33,09:33 AM,537.43,537.08,537.3,537.12,537.222,600,322333.0,6,TSLA
4,2020-04-07,09:34,09:34 AM,537.755,536.99,536.99,537.44,537.429,500,268714.5,5,TSLA
5,2020-04-07,09:35,09:35 AM,537.465,537.465,537.465,537.465,537.465,100,53746.5,1,TSLA
6,2020-04-07,09:36,09:36 AM,537.38,536.39,536.39,537.38,536.717,800,429374.0,8,TSLA
7,2020-04-07,09:37,09:37 AM,537.19,535.88,537.19,535.88,536.205,210,112603.13,3,TSLA
8,2020-04-07,09:38,09:38 AM,533.765,533.765,533.765,533.765,533.765,2,1067.53,1,TSLA
9,2020-04-07,09:39,09:39 AM,533.64,533.64,533.64,533.64,533.64,40,21345.6,1,TSLA
10,2020-04-07,09:40,09:40 AM,536.0,533.33,533.33,536.0,534.665,200,106933.0,2,TSLA
11,2020-04-07,09:41,09:41 AM,535.835,535.0,535.765,535.0,535.552,3700,1981544.0,12,TSLA
12,2020-04-07,09:42,09:42 AM,536.6,535.385,535.49,536.6,535.903,500,267951.5,5,TSLA
13,2020-04-07,09:43,09:43 AM,538.66,537.56,537.8,538.66,537.891,3073,1652939.875,14,TSLA
14,2020-04-07,09:44,09:44 AM,538.06,537.88,537.88,538.06,537.9159999999999,201,108121.06,3,TSLA
15,2020-04-07,09:45,09:45 AM,539.16,537.5,538.03,539.16,537.9259999999999,2743,1475530.7,16,TSLA
16,2020-04-07,09:46,09:46 AM,540.355,540.355,540.355,540.355,540.355,100,54035.5,1,TSLA
17,2020-04-07,09:47,09:47 AM,539.725,538.52,539.015,539.35,539.293,282,152080.51,12,TSLA
18,2020-04-07,09:48,09:48 AM,540.045,539.38,540.045,539.4,539.8580000000001,923,498289.37,15,TSLA
19,2020-04-07,09:49,09:49 AM,541.235,539.405,539.405,541.235,540.5880000000001,462,249751.845,10,TSLA
20,2020-04-07,09:50,09:50 AM,546.73,546.6,546.73,546.6,546.665,200,109333.0,2,TSLA
21,2020-04-07,09:51,09:51 AM,546.0,545.25,545.86,546.0,545.596,901,491582.25,19,TSLA
22,2020-04-07,09:52,09:52 AM,551.235,547.215,547.39,551.11,549.802,1156,635570.765,12,TSLA
23,2020-04-07,09:53,09:53 AM,552.0,550.665,551.135,552.0,551.165,1504,828952.0,12,TSLA
24,2020-04-07,09:54,09:54 AM,,,,,,0,0.0,0,TSLA
25,2020-04-07,09:55,09:55 AM,556.34,551.705,551.705,556.34,555.4209999999999,700,388794.5,8,TSLA
26,2020-04-07,09:56,09:56 AM,558.65,555.96,556.51,555.96,557.2669999999999,629,350520.79,10,TSLA
27,2020-04-07,09:57,09:57 AM,560.65,554.91,554.91,560.65,556.906,467,260075.02,7,TSLA
28,2020-04-07,09:58,09:58 AM,564.92,558.78,559.78,563.275,561.722,3403,1911541.62,26,TSLA
29,2020-04-07,09:59,09:59 AM,562.12,560.97,562.12,561.13,561.401,943,529401.15,10,TSLA
30,2020-04-07,10:00,10 AM,562.14,561.345,561.59,562.14,561.53,801,449785.64,8,TSLA
31,2020-04-07,10:01,10:01 AM,558.89,558.51,558.725,558.89,558.7,201,112298.725,3,TSLA
32,2020-04-07,10:02,10:02 AM,558.1,556.56,557.125,558.1,557.238,747,416257.12,11,TSLA
33,2020-04-07,10:03,10:03 AM,559.14,559.14,559.14,559.14,559.14,100,55914.0,1,TSLA
34,2020-04-07,10:04,10:04 AM,557.335,556.95,556.95,557.265,557.205,900,501484.5,7,TSLA
35,2020-04-07,10:05,10:05 AM,560.08,557.17,557.47,560.08,557.915,2328,1298826.31,11,TSLA
36,2020-04-07,10:06,10:06 AM,558.95,555.76,558.85,555.76,557.722,620,345787.85,9,TSLA
37,2020-04-07,10:07,10:07 AM,555.67,555.0,555.02,555.12,555.078,1331,738809.47,7,TSLA
38,2020-04-07,10:08,10:08 AM,554.84,553.1,554.74,553.62,554.034,1117,618855.84,16,TSLA
39,2020-04-07,10:09,10:09 AM,551.0,551.0,551.0,551.0,551.0,200,110200.0,1,TSLA
40,2020-04-07,10:10,10:10 AM,554.3,549.82,550.47,554.3,550.903,564,310709.43,9,TSLA
41,2020-04-07,10:11,10:11 AM,553.71,553.36,553.36,553.71,553.365,76,42055.71,2,TSLA
42,2020-04-07,10:12,10:12 AM,551.28,549.55,551.06,549.55,550.432,375,206412.0,4,TSLA
43,2020-04-07,10:13,10:13 AM,549.56,549.37,549.56,549.37,549.47,300,164841.0,3,TSLA
44,2020-04-07,10:14,10:14 AM,548.37,546.95,548.37,546.95,547.607,145,79403.05,5,TSLA
45,2020-04-07,10:15,10:15 AM,546.14,546.14,546.14,546.14,546.14,200,109228.0,1,TSLA
46,2020-04-07,10:16,10:16 AM,547.33,544.705,547.33,544.705,545.98,300,163794.14,4,TSLA
47,2020-04-07,10:17,10:17 AM,550.7,545.2,545.2,550.7,548.77,848,465356.815,18,TSLA
48,2020-04-07,10:18,10:18 AM,550.475,548.63,550.475,548.66,549.067,260,142757.5,3,TSLA
49,2020-04-07,10:19,10:19 AM,548.0,547.06,548.0,547.65,547.386,210,114951.0,3,TSLA
50,2020-04-07,10:20,10:20 AM,549.18,548.47,549.18,548.73,548.822,301,165195.47,4,TSLA
51,2020-04-07,10:21,10:21 AM,,,,,,0,0.0,0,TSLA
52,2020-04-07,10:22,10:22 AM,547.21,545.78,547.21,545.78,546.1709999999999,1200,655405.0,9,TSLA
53,2020-04-07,10:23,10:23 AM,543.76,542.01,543.58,543.76,543.352,301,163548.87,11,TSLA
54,2020-04-07,10:24,10:24 AM,545.87,542.63,543.93,542.63,544.3009999999999,251,136619.43,4,TSLA
55,2020-04-07,10:25,10:25 AM,543.0,542.96,542.96,543.0,542.98,200,108596.0,2,TSLA
56,2020-04-07,10:26,10:26 AM,548.48,547.255,547.255,548.48,547.867,200,109573.5,2,TSLA
57,2020-04-07,10:27,10:27 AM,548.36,546.93,546.93,548.36,547.645,200,109529.0,2,TSLA
58,2020-04-07,10:28,10:28 AM,548.34,547.71,548.34,547.72,547.768,330,180763.5,4,TSLA
59,2020-04-07,10:29,10:29 AM,546.1,544.705,546.1,544.705,545.403,200,109080.5,2,TSLA
60,2020-04-07,10:30,10:30 AM,,,,,,0,0.0,0,TSLA
61,2020-04-07,10:31,10:31 AM,547.575,547.575,547.575,547.575,547.575,200,109515.0,2,TSLA
62,2020-04-07,10:32,10:32 AM,551.8,549.815,549.815,551.62,551.351,602,331913.615,10,TSLA
63,2020-04-07,10:33,10:33 AM,552.17,552.17,552.17,552.17,552.17,25,13804.25,1,TSLA
64,2020-04-07,10:34,10:34 AM,,,,,,0,0.0,0,TSLA
65,2020-04-07,10:35,10:35 AM,,,,,,0,0.0,0,TSLA
66,2020-04-07,10:36,10:36 AM,549.53,549.33,549.53,549.33,549.43,200,109886.0,2,TSLA
67,2020-04-07,10:37,10:37 AM,549.0,547.62,548.1,549.0,548.383,400,219353.0,4,TSLA
68,2020-04-07,10:38,10:38 AM,549.74,548.96,548.96,549.74,549.271,598,328463.98,6,TSLA
69,2020-04-07,10:39,10:39 AM,549.885,549.59,549.59,549.795,549.757,300,164927.0,3,TSLA
70,2020-04-07,10:40,10:40 AM,,,,,,0,0.0,0,TSLA
71,2020-04-07,10:41,10:41 AM,547.07,545.0,547.07,545.215,545.128,559,304726.395,11,TSLA
72,2020-04-07,10:42,10:42 AM,546.815,546.505,546.505,546.765,546.695,300,164008.5,3,TSLA
73,2020-04-07,10:43,10:43 AM,,,,,,0,0.0,0,TSLA
74,2020-04-07,10:44,10:44 AM,544.41,544.14,544.14,544.41,544.249,501,272668.61,8,TSLA
75,2020-04-07,10:45,10:45 AM,545.37,544.18,545.37,544.29,544.986,359,195649.98,5,TSLA
76,2020-04-07,10:46,10:46 AM,543.58,543.0,543.58,543.0,543.29,200,108658.0,2,TSLA
77,2020-04-07,10:47,10:47 AM,544.12,543.84,543.84,544.12,543.98,200,108796.0,2,TSLA
78,2020-04-07,10:48,10:48 AM,540.56,540.56,540.56,540.56,540.56,100,54056.0,1,TSLA
79,2020-04-07,10:49,10:49 AM,538.215,538.1,538.215,538.1,538.133,444,238931.2,6,TSLA
80,2020-04-07,10:50,10:50 AM,539.115,538.545,538.545,539.115,538.83,200,107766.0,2,TSLA
81,2020-04-07,10:51,10:51 AM,,,,,,0,0.0,0,TSLA
82,2020-04-07,10:52,10:52 AM,539.86,539.86,539.86,539.86,539.86,100,53986.0,1,TSLA
83,2020-04-07,10:53,10:53 AM,539.41,539.41,539.41,539.41,539.41,100,53941.0,1,TSLA
84,2020-04-07,10:54,10:54 AM,539.82,539.21,539.82,539.65,539.597,400,215839.0,4,TSLA
85,2020-04-07,10:55,10:55 AM,540.3,540.3,540.3,540.3,540.3,100,54030.0,1,TSLA
86,2020-04-07,10:56,10:56 AM,542.67,541.43,541.43,542.17,542.2869999999999,540,292834.8,7,TSLA
87,2020-04-07,10:57,10:57 AM,543.64,542.73,543.64,542.73,543.085,400,217234.0,4,TSLA
88,2020-04-07,10:58,10:58 AM,543.91,543.61,543.61,543.705,543.742,300,163122.5,3,TSLA
89,2020-04-07,10:59,10:59 AM,544.06,542.6,544.06,542.6,543.327,500,271663.5,5,TSLA
90,2020-04-07,11:00,11 AM,,,,,,0,0.0,0,TSLA
91,2020-04-07,11:01,11:01 AM,542.72,542.71,542.71,542.72,542.715,200,108543.0,2,TSLA
92,2020-04-07,11:02,11:02 AM,543.08,542.22,542.35,543.08,542.634,400,217053.5,4,TSLA
93,2020-04-07,11:03,11:03 AM,543.98,543.94,543.94,543.97,543.97,500,271985.0,3,TSLA
94,2020-04-07,11:04,11:04 AM,544.57,543.24,543.24,544.57,543.905,200,108781.0,2,TSLA
95,2020-04-07,11:05,11:05 AM,545.99,544.29,544.815,545.99,544.754,301,163970.99,4,TSLA
96,2020-04-07,11:06,11:06 AM,545.61,545.61,545.61,545.61,545.61,100,54561.0,1,TSLA
